31305,31632,32089,31026,31646,32174,31520,31492,31877,31352,,,38005,38055,38574,37996,37433,37756,37777,37795,38321,38649,,,79035,77941,75972,77765,76021,76875,77068,78205,78203,76186,,
30170,30265,30653,29988,29988,29583,30712,29962,29972,30561,,,24047,25349,25114,25317,25472,26608,27345,27123,24826,24137,,,18491,17784,17215,17816,17319,17425,17567,18267,17613,17315,,
30061,30265,30653,29878,29988,29470,30382,29836,29972,30561,,,23713,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11836,12615,10897,11619,11845,11509,11845,11544,12274,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11404,12469,10897,11619,11845,11509,11704,11544,12130,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11404,12469,10897,11619,11845,11509,11704,11544,12130,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11404,12469,10897,11619,11845,11509,11704,11544,12130,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11404,12469,10897,11619,11845,11509,11704,11544,12130,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11404,12469,10897,11619,11845,11509,11704,11544,12130,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11404,12469,10897,11619,11845,11509,11704,11544,12130,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,26603,24140,23791,,,10090,11404,12469,10897,11619,11845,11509,11704,11544,12130,,
30061,30265,30653,29770,29988,29470,30382,29836,29972,30561,,,23546,24842,24608,24814,25472,26273,26817,,24140,23791,,,10090,11404,,,,,11509,,,12130,,
30061,30265,,29770,29988,29470,30382,29836,29972,30561,,,,,,,,,26817,,,,,,,,,,,,,,,,,
,,,29770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
