generator: r; coloring kernel: m; dynamic kernel: t; movement kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
21,1000,1000,12,1000,21,30061,0,0.0330
21,1000,1000,12,1000,21,30265,0,0.0340
21,1000,1000,11,1000,21,30653,0,0.0320
21,1000,1000,13,1000,21,29770,0,0.0340
21,1000,1000,12,1000,21,29988,0,0.0340
21,1000,1000,12,1000,21,29470,0,0.0370
21,1000,1000,12,1000,21,30382,0,0.0340
21,1000,1000,12,1000,21,29836,0,0.0330
21,1000,1000,12,1000,21,29972,0,0.0360
21,1000,1000,12,1000,21,30561,0,0.0340


generator: r; coloring kernel: m; dynamic kernel: t; movement kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
21,1000,526,10,526,21,27252,0,0.7080
21,1000,501,11,501,21,24756,0,0.7740
21,1000,522,11,522,21,26368,0,0.6920
21,1000,508,11,508,21,25075,0,0.6970
21,1000,524,11,524,21,26966,0,0.7170
21,1000,520,11,520,21,26291,0,0.6820
21,1000,506,11,506,21,24787,0,0.8040
21,1000,514,11,514,21,25889,0,0.6800
21,1000,498,11,498,21,24055,0,0.6880
21,1000,517,11,517,21,25997,0,0.6960


generator: r; coloring kernel: m; dynamic kernel: t; movement kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
21,1000,493,11,493,21,23546,0,0.7040
21,1000,502,11,502,21,24842,0,0.7180
21,1000,500,11,500,21,24608,0,0.7190
21,1000,505,11,505,21,24814,0,0.7070
21,1000,510,11,510,21,25472,0,0.6970
21,1000,521,11,521,21,26273,0,0.7070
21,1000,524,12,524,21,26817,0,0.7060
21,1000,523,10,523,21,26603,0,0.6880
21,1000,499,11,499,21,24140,0,0.7110
21,1000,498,11,498,21,23791,0,0.7230


generator: r; coloring kernel: m; dynamic kernel: t; movement kernel: x; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
21,1000,251,11,251,21,10090,0,1.3330
21,1000,268,11,268,21,11404,0,1.2840
21,1000,280,10,280,21,12469,0,1.3130
21,1000,261,10,261,21,10897,0,1.3090
21,1000,271,10,271,21,11619,0,1.3100
21,1000,271,10,271,21,11845,0,1.3180
21,1000,269,11,269,21,11509,0,1.3230
21,1000,270,10,270,21,11704,0,1.3260
21,1000,268,10,268,21,11544,0,1.3100
21,1000,275,11,275,21,12130,0,1.2790


