generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,27445,0,0.2970
2,1000,1000,10000,1000,2,27196,0,0.2967
2,1000,1000,10000,1000,2,38848,0,0.3041
2,1000,1000,10000,1000,2,37363,0,0.2923
2,1000,1000,10000,1000,2,41478,0,0.2995
2,1000,1000,10000,1000,2,27164,0,0.2975
2,1000,1000,10000,1000,2,35695,0,0.2954
2,1000,1000,10000,1000,2,51949,0,0.3027
2,1000,1000,10000,1000,2,27227,0,0.2933
2,1000,1000,10000,1000,2,27147,0,0.2982


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,66622,0,0.3381
2,1000,1000,10000,1000,2,70924,0,0.3322
2,1000,1000,10000,1000,2,75144,0,0.3444
2,1000,1000,10000,1000,2,76209,0,0.3291
2,1000,1000,10000,1000,2,102080,0,0.3236
2,1000,1000,10000,1000,2,65941,0,0.3335
2,1000,1000,10000,1000,2,82465,0,0.3217
2,1000,1000,10000,1000,2,68959,0,0.3251
2,1000,1000,10000,1000,2,68782,0,0.3311
2,1000,1000,10000,1000,2,57560,0,0.3258


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,148402,0,0.3335
2,1000,1000,10000,1000,2,76637,0,0.3397
2,1000,1000,10000,1000,2,101511,0,0.3462
2,1000,1000,10000,1000,2,109497,0,0.3298
2,1000,1000,10000,1000,2,91592,0,0.3387
2,1000,1000,10000,1000,2,140154,0,0.3392
2,1000,1000,10000,1000,2,111400,0,0.3398
2,1000,1000,10000,1000,2,86978,0,0.3353
2,1000,1000,10000,1000,2,141591,0,0.3409
2,1000,1000,10000,1000,2,78095,0,0.3303


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,145335,0,0.3564
2,1000,1000,10000,1000,2,113904,0,0.3551
2,1000,1000,10000,1000,2,137687,0,0.3466
2,1000,1000,10000,1000,2,103237,0,0.3406
2,1000,1000,10000,1000,2,169121,0,0.3513
2,1000,1000,10000,1000,2,126126,0,0.3530
2,1000,1000,10000,1000,2,102515,0,0.3472
2,1000,1000,10000,1000,2,156762,0,0.3417
2,1000,1000,10000,1000,2,134166,0,0.3530
2,1000,1000,10000,1000,2,144398,0,0.3546


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,131090,0,0.3322
2,1000,1000,10000,1000,2,176241,0,0.3193
2,1000,1000,10000,1000,2,153011,0,0.3311
2,1000,1000,10000,1000,2,178114,0,0.3336
2,1000,1000,10000,1000,2,145851,0,0.3339
2,1000,1000,10000,1000,2,133950,0,0.3266
2,1000,1000,10000,1000,2,211880,0,0.3315
2,1000,1000,10000,1000,2,153397,0,0.3275
2,1000,1000,10000,1000,2,129446,0,0.3244
2,1000,1000,10000,1000,2,183225,0,0.3286


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.600;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,155928,0,0.3487
2,1000,1000,10000,1000,2,246515,0,0.3512
2,1000,1000,10000,1000,2,280918,0,0.4697
2,1000,1000,10000,1000,2,198527,0,0.5689
2,1000,1000,10000,1000,2,293805,0,0.3348
2,1000,1000,10000,1000,2,216889,0,0.3472
2,1000,1000,10000,1000,2,157273,0,0.3387
2,1000,1000,10000,1000,2,210374,0,0.3401
2,1000,1000,10000,1000,2,218558,0,0.3561
2,1000,1000,10000,1000,2,210619,0,0.3225


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.700;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,221423,0,0.3482
2,1000,1000,10000,1000,2,211642,0,0.3405
2,1000,1000,10000,1000,2,180385,0,0.3402
2,1000,1000,10000,1000,2,234504,0,0.3376
2,1000,1000,10000,1000,2,218526,0,0.3503
2,1000,1000,10000,1000,2,245503,0,0.3324
2,1000,1000,10000,1000,2,274279,0,0.3382
2,1000,1000,10000,1000,2,210887,0,0.3500
2,1000,1000,10000,1000,2,275688,0,0.3394
2,1000,1000,10000,1000,2,179584,0,0.3506


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,385070,0,0.3150
2,1000,1000,10000,1000,2,368446,0,0.3168
2,1000,1000,10000,1000,2,397322,0,0.3084
2,1000,1000,10000,1000,2,375626,0,0.3240
2,1000,1000,10000,1000,2,289283,0,0.3313
2,1000,1000,10000,1000,2,318432,0,0.3260
2,1000,1000,10000,1000,2,389725,0,0.3186
2,1000,1000,10000,1000,2,242681,0,0.3177
2,1000,1000,10000,1000,2,279066,0,0.3183
2,1000,1000,10000,1000,2,227219,0,0.3343


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.900;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,412172,0,0.3045
2,1000,1000,10000,1000,2,285926,0,0.3284
2,1000,1000,10000,1000,2,304312,0,0.3181
2,1000,1000,10000,1000,2,310838,0,0.3346
2,1000,1000,10000,1000,2,383648,0,0.3399
2,1000,1000,10000,1000,2,408967,0,0.3314
2,1000,1000,10000,1000,2,448962,0,0.3351
2,1000,1000,10000,1000,2,397033,0,0.3360
2,1000,1000,10000,1000,2,317581,0,0.3168
2,1000,1000,10000,1000,2,336261,0,0.3458


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 1.000;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,490581,0,0.3044
2,1000,1000,10000,1000,2,490581,0,0.2951
2,1000,1000,10000,1000,2,490581,0,0.2887
2,1000,1000,10000,1000,2,490581,0,0.2923
2,1000,1000,10000,1000,2,490581,0,0.2939
2,1000,1000,10000,1000,2,490581,0,0.3254
2,1000,1000,10000,1000,2,490581,0,0.2951
2,1000,1000,10000,1000,2,490581,0,0.3350
2,1000,1000,10000,1000,2,490581,0,0.3156
2,1000,1000,10000,1000,2,490581,0,0.3062


