generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.100;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,12,1000,434,0,0,0.0035
500,1000,1000,13,1000,448,0,0,0.0039
500,1000,1000,12,1000,452,0,0,0.0037
500,1000,1000,13,1000,446,0,0,0.0043
500,1000,1000,12,1000,446,0,0,0.0042
500,1000,1000,12,1000,450,0,0,0.0037
500,1000,1000,12,1000,448,0,0,0.004
500,1000,1000,14,1000,439,0,0,0.0043
500,1000,1000,12,1000,449,0,0,0.0041
500,1000,1000,13,1000,456,0,0,0.0041
,,,,,446.8,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.200;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,14,1000,447,0,0,0.008
500,1000,1000,14,1000,466,0,0,0.0081
500,1000,1000,13,1000,464,0,0,0.0076
500,1000,1000,14,1000,456,0,0,0.0081
500,1000,1000,14,1000,459,0,0,0.0084
500,1000,1000,16,1000,464,0,0,0.0093
500,1000,1000,15,1000,467,0,0,0.0082
500,1000,1000,13,1000,471,0,0,0.0079
500,1000,1000,15,1000,463,0,0,0.0116
500,1000,1000,14,1000,472,0,0,0.0099
,,,,,462.9,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.300;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,17,1000,482,0,0,0.0149
500,1000,1000,17,1000,478,0,0,0.0177
500,1000,1000,16,1000,475,0,0,0.0127
500,1000,1000,22,1000,478,0,0,0.017
500,1000,1000,16,1000,476,0,0,0.0124
500,1000,1000,16,1000,477,0,0,0.0131
500,1000,1000,16,1000,477,0,0,0.0128
500,1000,1000,19,1000,484,0,0,0.0199
500,1000,1000,16,1000,476,0,0,0.0144
500,1000,1000,17,1000,480,0,0,0.0137
,,,,,478.3,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.400;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,21,1000,492,0,0,0.0243
500,1000,1000,19,1000,486,0,0,0.0242
500,1000,1000,21,1000,493,0,0,0.0247
500,1000,1000,26,1000,494,0,0,0.0266
500,1000,1000,29,1000,492,0,0,0.0292
500,1000,1000,32,1000,495,0,0,0.0324
500,1000,1000,24,1000,498,0,0,0.0289
500,1000,1000,19,1000,493,0,0,0.0211
500,1000,1000,19,1000,490,0,0,0.0238
500,1000,1000,20,1000,491,0,0,0.0207
,,,,,492.4,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.500;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,36,1000,500,0,0,0.0442
500,1000,1000,114,1000,500,0,0,0.1215
500,1000,1000,106,1000,500,0,0,0.1125
500,1000,1000,78,1000,500,0,0,0.0834
500,1000,1000,56,1000,500,0,0,0.0607
500,1000,1000,48,1000,500,0,0,0.0521
500,1000,1000,63,1000,500,0,0,0.0687
500,1000,1000,90,1000,500,0,0,0.0962
500,1000,1000,90,1000,500,0,0,0.0965
500,1000,1000,62,1000,500,0,0,0.0679
,,,,,500,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.600;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,500,197,0,10.6361
500,1000,1000,10000,1000,500,200,0,10.4376
500,1000,1000,10000,1000,500,188,0,10.395
500,1000,1000,10000,1000,500,208,0,10.451
500,1000,1000,10000,1000,500,197,0,10.4711
500,1000,1000,10000,1000,500,193,0,10.4814
500,1000,1000,10000,1000,500,201,0,10.3718
500,1000,1000,10000,1000,500,210,0,10.5848
500,1000,1000,10000,1000,500,170,0,10.4068
500,1000,1000,10000,1000,500,194,0,10.4442
,,,,,500,195.8,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.700;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,500,330,0,10.0379
500,1000,1000,10000,1000,500,345,0,9.9196
500,1000,1000,10000,1000,500,400,0,10.0196
500,1000,1000,10000,1000,500,362,0,10.0007
500,1000,1000,10000,1000,500,383,0,9.8963
500,1000,1000,10000,1000,500,366,0,9.8744
500,1000,1000,10000,1000,500,344,0,9.8858
500,1000,1000,10000,1000,500,368,0,9.9973
500,1000,1000,10000,1000,500,353,0,9.803
500,1000,1000,10000,1000,500,345,0,9.7738
,,,,,500,359.6,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.800;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,500,522,0,10.9968
500,1000,1000,10000,1000,500,532,0,10.658
500,1000,1000,10000,1000,500,502,0,10.5876
500,1000,1000,10000,1000,500,546,0,10.7002
500,1000,1000,10000,1000,500,497,0,10.6707
500,1000,1000,10000,1000,500,486,0,10.6702
500,1000,1000,10000,1000,500,509,0,10.5404
500,1000,1000,10000,1000,500,522,0,10.7044
500,1000,1000,10000,1000,500,506,0,10.6518
500,1000,1000,10000,1000,500,494,0,10.6053
,,,,,500,511.6,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.900;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,500,656,0,10.255
500,1000,1000,10000,1000,500,654,0,10.1367
500,1000,1000,10000,1000,500,645,0,10.142
500,1000,1000,10000,1000,500,670,0,10.0902
500,1000,1000,10000,1000,500,686,0,9.955
500,1000,1000,10000,1000,500,661,0,10.0927
500,1000,1000,10000,1000,500,642,0,10.1657
500,1000,1000,10000,1000,500,658,0,10.0866
500,1000,1000,10000,1000,500,660,0,9.9697
500,1000,1000,10000,1000,500,648,0,10.1434
,,,,,500,658,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 1.000;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,500,789,0,11.0237
500,1000,1000,10000,1000,500,750,0,10.7594
500,1000,1000,10000,1000,500,822,0,10.8309
500,1000,1000,10000,1000,500,804,0,10.7265
500,1000,1000,10000,1000,500,761,0,10.737
500,1000,1000,10000,1000,500,801,0,10.7983
500,1000,1000,10000,1000,500,783,0,10.7665
500,1000,1000,10000,1000,500,798,0,10.7622
500,1000,1000,10000,1000,500,785,0,10.7067
500,1000,1000,10000,1000,500,810,0,10.7118
,,,,,500,790.3,,
